iter	Passed	Remaining
414	2760	3890
415	2765	3882
416	2771	3875
417	2777	3867
418	2782	3858
419	2788	3850
420	2793	3842
421	2799	3834
422	2805	3826
423	2810	3818
424	2816	3810
425	2822	3802
426	2827	3794
427	2833	3786
428	2838	3778
429	2844	3770
430	2849	3762
431	2855	3754
432	2860	3746
433	2866	3738
434	2872	3730
435	2877	3722
436	2883	3714
437	2888	3706
438	2894	3699
439	2900	3691
440	2905	3683
441	2911	3675
442	2916	3666
443	2921	3658
444	2927	3650
445	2933	3643
446	2938	3635
447	2944	3628
448	2950	3620
449	2956	3612
450	2961	3604
451	2966	3597
452	2972	3589
453	2978	3581
454	2984	3574
455	2989	3567
456	2995	3559
457	3000	3551
458	3006	3543
459	3011	3535
460	3018	3529
461	3024	3522
462	3030	3514
463	3035	3506
464	3040	3498
465	3046	3490
466	3051	3482
467	3056	3474
468	3062	3467
469	3067	3459
470	3073	3452
471	3079	3444
472	3084	3436
473	3089	3428
474	3095	3421
475	3101	3413
476	3106	3406
477	3112	3398
478	3117	3390
479	3123	3383
480	3128	3375
481	3133	3367
482	3139	3360
483	3144	3352
484	3150	3345
485	3155	3337
486	3161	3329
487	3165	3321
488	3171	3314
489	3176	3306
490	3182	3299
491	3188	3291
492	3193	3284
493	3198	3276
494	3204	3269
495	3209	3261
496	3215	3253
497	3220	3246
498	3226	3238
499	3231	3231
500	3236	3223
501	3241	3215
502	3247	3208
503	3252	3201
504	3258	3193
505	3263	3186
506	3269	3179
507	3275	3171
508	3280	3164
509	3285	3156
510	3291	3149
511	3296	3142
512	3302	3134
513	3307	3127
514	3313	3120
515	3318	3112
516	3324	3105
517	3329	3098
518	3335	3090
519	3340	3083
520	3346	3076
521	3351	3069
522	3357	3061
523	3362	3054
524	3368	3047
525	3373	3039
526	3378	3032
527	3384	3025
528	3389	3018
529	3395	3010
530	3400	3003
531	3406	2996
532	3411	2989
533	3416	2981
534	3422	2974
535	3427	2967
536	3432	2959
537	3438	2952
538	3444	2945
539	3449	2938
540	3454	2931
541	3460	2923
542	3466	2917
543	3471	2910
544	3477	2903
545	3483	2896
546	3488	2889
547	3494	2882
548	3500	2875
549	3506	2868
550	3511	2861
551	3516	2854
552	3522	2847
553	3527	2840
554	3533	2832
555	3538	2826
556	3545	2819
557	3552	2813
558	3558	2807
559	3563	2800
560	3569	2793
561	3574	2786
562	3580	2778
563	3585	2771
564	3591	2764
565	3596	2758
566	3602	2751
567	3608	2744
568	3614	2737
569	3620	2730
570	3625	2723
571	3630	2716
572	3636	2709
573	3642	2703
574	3647	2696
575	3653	2689
576	3658	2682
577	3664	2675
578	3669	2668
579	3675	2661
580	3681	2654
581	3686	2647
582	3692	2641
583	3698	2634
584	3703	2627
585	3709	2620
586	3715	2614
587	3721	2607
588	3726	2600
589	3732	2593
590	3737	2586
591	3743	2580
592	3749	2573
593	3755	2566
594	3760	2559
595	3765	2552
596	3771	2545
597	3776	2538
598	3782	2532
599	3787	2525
600	3793	2518
601	3798	2511
602	3804	2504
603	3809	2497
604	3815	2490
605	3821	2484
606	3826	2477
607	3832	2470
608	3837	2464
609	3843	2457
610	3849	2450
611	3854	2443
612	3860	2437
613	3865	2430
614	3871	2423
615	3876	2416
616	3882	2410
617	3887	2403
618	3893	2396
619	3898	2389
620	3904	2382
621	3909	2375
622	3914	2368
623	3919	2361
624	3925	2355
625	3930	2348
626	3936	2341
627	3941	2334
628	3946	2327
629	3951	2320
630	3956	2313
631	3961	2306
632	3967	2300
633	3973	2293
634	3978	2286
635	3984	2280
636	3989	2273
637	3994	2266
638	4000	2259
639	4006	2253
640	4011	2246
641	4017	2240
642	4022	2233
643	4028	2226
644	4034	2220
645	4040	2213
646	4045	2207
647	4050	2200
648	4056	2193
649	4062	2187
650	4068	2181
651	4073	2174
652	4079	2167
653	4084	2160
654	4089	2154
655	4095	2147
656	4100	2140
657	4106	2134
658	4111	2127
659	4117	2121
660	4123	2114
661	4128	2108
662	4134	2101
663	4140	2095
664	4145	2088
665	4151	2081
666	4156	2075
667	4162	2068
668	4167	2062
669	4173	2055
670	4179	2049
671	4184	2042
672	4190	2036
673	4195	2029
674	4201	2022
675	4206	2016
676	4212	2009
677	4218	2003
678	4223	1996
679	4228	1989
680	4233	1983
681	4239	1976
682	4245	1970
683	4250	1963
684	4256	1957
685	4261	1950
686	4267	1944
687	4272	1937
688	4278	1931
689	4283	1924
690	4289	1918
691	4294	1911
692	4299	1904
693	4305	1898
694	4310	1891
695	4316	1885
696	4321	1878
697	4326	1871
698	4331	1865
699	4336	1858
700	4341	1852
701	4347	1845
702	4352	1838
703	4358	1832
704	4363	1825
705	4368	1819
706	4374	1812
707	4379	1806
708	4385	1799
709	4390	1793
710	4395	1786
711	4400	1780
712	4406	1773
713	4411	1767
714	4416	1760
715	4422	1754
716	4427	1747
717	4433	1741
718	4439	1734
719	4444	1728
720	4449	1721
721	4455	1715
722	4460	1708
723	4466	1702
724	4471	1696
725	4477	1689
726	4482	1683
727	4487	1676
728	4493	1670
729	4498	1663
730	4504	1657
731	4509	1651
732	4515	1644
733	4520	1638
734	4526	1631
735	4531	1625
736	4537	1619
737	4542	1612
738	4549	1606
739	4554	1600
740	4559	1593
741	4564	1587
742	4570	1580
743	4575	1574
744	4580	1567
745	4586	1561
746	4592	1555
747	4597	1548
748	4602	1542
749	4608	1536
750	4613	1529
751	4619	1523
752	4625	1517
753	4630	1510
754	4636	1504
755	4641	1498
756	4647	1491
757	4652	1485
758	4657	1478
759	4663	1472
760	4668	1466
761	4673	1459
762	4679	1453
763	4684	1447
764	4690	1440
765	4695	1434
766	4701	1428
767	4707	1422
768	4714	1416
769	4720	1409
770	4726	1403
771	4732	1397
772	4737	1391
773	4743	1385
774	4749	1378
775	4754	1372
776	4759	1366
777	4765	1359
778	4771	1353
779	4776	1347
780	4782	1341
781	4788	1334
782	4793	1328
783	4799	1322
784	4804	1315
785	4810	1309
786	4815	1303
787	4821	1297
788	4826	1290
789	4833	1284
790	4838	1278
791	4844	1272
792	4849	1265
793	4855	1259
794	4860	1253
795	4866	1247
796	4871	1240
797	4877	1234
798	4882	1228
799	4887	1221
800	4893	1215
801	4899	1209
802	4904	1203
803	4909	1196
804	4915	1190
805	4920	1184
806	4926	1178
807	4931	1171
808	4936	1165
809	4942	1159
810	4947	1153
811	4953	1146
812	4958	1140
813	4964	1134
814	4969	1128
815	4974	1121
816	4980	1115
817	4986	1109
818	4991	1103
819	4996	1096
820	5002	1090
821	5007	1084
822	5013	1078
823	5019	1072
824	5024	1065
825	5029	1059
826	5035	1053
827	5041	1047
828	5046	1040
829	5052	1034
830	5057	1028
831	5063	1022
832	5068	1016
833	5074	1009
834	5080	1003
835	5085	997
836	5092	991
837	5098	985
838	5104	979
839	5110	973
840	5115	967
841	5121	960
842	5126	954
843	5132	948
844	5137	942
845	5143	936
846	5148	930
847	5154	923
848	5159	917
849	5165	911
850	5177	906
851	5185	900
852	5192	894
853	5198	888
854	5204	882
855	5212	876
856	5218	870
857	5224	864
858	5231	858
859	5236	852
860	5243	846
861	5248	840
862	5254	834
863	5260	828
864	5265	821
865	5271	815
866	5277	809
867	5283	803
868	5289	797
869	5294	791
870	5300	784
871	5305	778
872	5311	772
873	5316	766
874	5322	760
875	5328	754
876	5333	748
877	5339	741
878	5344	735
879	5350	729
880	5355	723
881	5361	717
882	5366	711
883	5372	704
884	5376	698
885	5383	692
886	5392	686
887	5405	681
888	5418	676
889	5431	671
890	5438	665
891	5447	659
892	5453	653
893	5458	647
894	5464	641
895	5470	634
896	5476	628
897	5482	622
898	5487	616
899	5493	610
900	5499	604
901	5504	598
902	5510	591
903	5515	585
904	5521	579
905	5526	573
906	5533	567
907	5538	561
908	5544	555
909	5549	548
910	5555	542
911	5561	536
912	5566	530
913	5572	524
914	5577	518
915	5583	511
916	5588	505
917	5594	499
918	5599	493
919	5605	487
920	5610	481
921	5615	475
922	5621	468
923	5626	462
924	5632	456
925	5637	450
926	5643	444
927	5648	438
928	5654	432
929	5659	425
930	5665	419
931	5670	413
932	5676	407
933	5682	401
934	5687	395
935	5693	389
936	5698	383
937	5704	377
938	5708	370
939	5714	364
940	5719	358
941	5725	352
942	5730	346
943	5736	340
944	5741	334
945	5746	328
946	5752	321
947	5757	315
948	5763	309
949	5768	303
950	5773	297
951	5779	291
952	5785	285
953	5791	279
954	5797	273
955	5802	267
956	5808	260
957	5813	254
958	5818	248
959	5823	242
960	5829	236
961	5835	230
962	5840	224
963	5846	218
964	5852	212
965	5858	206
966	5863	200
967	5869	194
968	5874	187
969	5879	181
970	5885	175
971	5890	169
972	5896	163
973	5901	157
974	5906	151
975	5912	145
976	5918	139
977	5923	133
978	5929	127
979	5934	121
980	5939	115
981	5945	108
982	5950	102
983	5955	96
984	5961	90
985	5966	84
986	5972	78
987	5977	72
988	5983	66
989	5988	60
990	5994	54
991	5999	48
992	6005	42
993	6010	36
994	6016	30
995	6021	24
996	6027	18
997	6032	12
998	6037	6
999	6043	0
