iter	Logloss
0	0.6740009143
1	0.6569170525
2	0.6425275654
3	0.6297955394
4	0.6189820919
5	0.6078092322
6	0.5987842418
7	0.5900191632
8	0.5824387506
9	0.5761343071
10	0.5707427079
11	0.5656672635
12	0.5608718424
13	0.5568544387
14	0.5531892647
15	0.5499810429
16	0.546921361
17	0.5437726624
18	0.5415292422
19	0.5388409979
20	0.5359999914
21	0.5341298097
22	0.5319890315
23	0.5297531694
24	0.527760854
25	0.5255965775
26	0.5239092481
27	0.5221847819
28	0.5205238634
29	0.5188594802
30	0.5176506989
31	0.5158867109
32	0.5145074979
33	0.5133420952
34	0.5121189828
35	0.5109578509
36	0.5095364739
37	0.5085777283
38	0.5075320182
39	0.5065028982
40	0.5056374827
41	0.5046333701
42	0.5033483558
43	0.502351416
44	0.5014240616
45	0.5005403939
46	0.499779983
47	0.4991007359
48	0.4982812543
49	0.4974751221
50	0.4967238032
51	0.4960183027
52	0.4955071916
53	0.4947832941
54	0.4941547184
55	0.4935779338
56	0.4928261928
57	0.4922454334
58	0.4914682737
59	0.4910242757
60	0.4905011069
61	0.4900678606
62	0.4895811575
63	0.4891048015
64	0.4886598397
65	0.4881511318
66	0.4877025772
67	0.4872355935
68	0.4867124932
69	0.4861283416
70	0.4857079899
71	0.4852026749
72	0.4847405148
73	0.4843782926
74	0.4840999187
75	0.4837137682
76	0.4832691958
77	0.4829501104
78	0.4826312535
79	0.4821273035
80	0.4817121562
81	0.4812913681
82	0.4809109969
83	0.4805369332
84	0.480194842
85	0.4798951606
86	0.4796434609
87	0.4792773152
88	0.4790432497
89	0.4787387673
90	0.478471757
91	0.4781176797
92	0.4778564424
93	0.4775865296
94	0.4772530566
95	0.4770162029
96	0.4766702683
97	0.4764478556
98	0.4761821856
99	0.475903474
100	0.4755456183
101	0.4753119711
102	0.475096683
103	0.4749292425
104	0.4746969038
105	0.4745027593
106	0.4743373455
107	0.4741407137
108	0.4739562598
109	0.4737739932
110	0.4735490406
111	0.4732989883
112	0.4730732996
113	0.4729117009
114	0.4727939493
115	0.4725899359
116	0.4724005853
117	0.4721689389
118	0.4720475142
119	0.4718891878
120	0.4716767165
121	0.47149784
122	0.4713539031
123	0.4711546116
124	0.4710086956
125	0.4708828252
126	0.4707754974
127	0.4706083045
128	0.4704331933
129	0.4703181745
130	0.4701798188
131	0.470052076
132	0.4698996699
133	0.4697318854
134	0.4695837174
135	0.4694456583
136	0.46926563
137	0.4691448386
138	0.4689973353
139	0.4688752765
140	0.4687289387
141	0.4686109828
142	0.4684404115
143	0.4682831015
144	0.4681755515
145	0.4680650032
146	0.4679134903
147	0.4678180494
148	0.4677204423
149	0.4675797554
150	0.46744908
151	0.4673147731
152	0.4671835147
153	0.4670819684
154	0.4669708199
155	0.4668614733
156	0.4667453332
157	0.4666249437
158	0.4664941949
159	0.4663842763
160	0.4662422309
161	0.4661232111
162	0.4659977426
163	0.4658895667
164	0.4657944389
165	0.4657141459
166	0.4656185561
167	0.4655254764
168	0.4654089772
169	0.4653108088
170	0.465190655
171	0.4650843552
172	0.4649616882
173	0.4648595622
174	0.4647476754
175	0.464668821
176	0.4645371655
177	0.4644586852
178	0.4643693701
179	0.4642316655
180	0.4641003014
181	0.463990293
182	0.4638631825
183	0.4637368399
184	0.4636245856
185	0.4635051066
186	0.4633896371
187	0.4632983757
188	0.4632209549
189	0.4631114012
190	0.4630428562
191	0.4629414111
192	0.4628351159
193	0.4627159309
194	0.4626026508
195	0.4624974066
196	0.4623992293
197	0.4623194168
198	0.4622175438
199	0.4621046229
200	0.462002722
201	0.4619111051
202	0.461792524
203	0.461730793
204	0.4616364872
205	0.4615302652
206	0.4614231009
207	0.461336527
208	0.461249252
209	0.4611704225
210	0.4611052313
211	0.4610285104
212	0.4609282897
213	0.4608281874
214	0.4607042466
215	0.4606290843
216	0.4605360973
217	0.4604425713
218	0.4603503608
219	0.4602577939
220	0.4601429271
221	0.4600137736
222	0.45990662
223	0.4597984635
224	0.4596669258
225	0.459563517
226	0.4594567043
227	0.4593730151
228	0.4592673434
229	0.4591714828
230	0.4590781971
231	0.4589888956
232	0.458880819
233	0.4587612671
234	0.4586635466
235	0.4585689017
236	0.4584564711
237	0.4583473405
238	0.4582616026
239	0.4581766327
240	0.4580780128
241	0.4579610803
242	0.4578575164
243	0.4577602272
244	0.4576591171
245	0.457568679
246	0.457445845
247	0.4573342214
248	0.4572387102
249	0.4571452218
250	0.457051459
251	0.456967036
252	0.4568789376
253	0.4567806246
254	0.4567008623
255	0.4566064718
256	0.4565107598
257	0.4564252422
258	0.4563187737
259	0.4562422974
260	0.4561569226
261	0.4560750012
262	0.4559858179
263	0.4559009761
264	0.4557871419
265	0.4557030055
266	0.455601462
267	0.4554851124
268	0.4553764618
269	0.4552576084
270	0.455159317
271	0.4550656639
272	0.4549928676
273	0.4549130757
274	0.4548237427
275	0.4547273225
276	0.4546568366
277	0.4545990518
278	0.4545070279
279	0.4544096351
280	0.4543220921
281	0.4542298064
282	0.4541449745
283	0.4540421288
284	0.4539430077
285	0.4538447455
286	0.4537754709
287	0.4536740673
288	0.4535640936
289	0.4534828835
290	0.453378178
291	0.4532791207
292	0.4531655778
293	0.4530844886
294	0.4530008415
295	0.4529331192
296	0.4528519237
297	0.4527865378
298	0.4527040486
299	0.4526060651
300	0.4525174586
301	0.4524252708
302	0.452308069
303	0.4522253084
304	0.4521746332
305	0.4520833366
306	0.4520130578
307	0.4519252586
308	0.4518328832
309	0.451756982
310	0.4516512043
311	0.4515650956
312	0.4514827905
313	0.4513938535
314	0.4513414776
315	0.4512558855
316	0.4511817781
317	0.4511033013
318	0.4510202855
319	0.4509133058
320	0.4508310368
321	0.4507442891
322	0.4506534512
323	0.4505861312
324	0.45049262
325	0.4504069756
326	0.4503040877
327	0.450230223
328	0.450162791
329	0.4500906673
330	0.4500105831
331	0.449912301
332	0.4498318053
333	0.4497844954
334	0.4497172695
335	0.4496128493
336	0.4495251493
337	0.4494171086
338	0.4493480806
339	0.4492503602
340	0.4491231212
341	0.4490204316
342	0.448916962
343	0.4488466273
344	0.4487802579
345	0.4487165769
346	0.4486445118
347	0.4485532874
348	0.4484662436
349	0.4483652016
350	0.4482869978
351	0.4482139083
352	0.448157555
353	0.4480956825
354	0.4480375966
355	0.4479472009
356	0.4478292101
357	0.4477542396
358	0.4476772509
359	0.4475905614
360	0.4474901567
361	0.4474107785
362	0.4473411078
363	0.4472617623
364	0.447182834
365	0.4471302749
366	0.4470383604
367	0.4469217197
368	0.4468312934
369	0.4467683673
370	0.4467025402
371	0.4466390347
372	0.4465472541
373	0.4464691353
374	0.4463852387
375	0.4463310085
376	0.4462332679
377	0.446129953
378	0.4460491027
379	0.4459835308
380	0.4459052737
381	0.4458202932
382	0.4457491368
383	0.4456619348
384	0.4455664118
385	0.4454816274
386	0.4453994594
387	0.4453457118
388	0.4452531662
389	0.4451984965
390	0.4451530915
391	0.4450871942
392	0.4450150832
393	0.4449163214
394	0.4448310674
395	0.4447522062
396	0.4446711823
397	0.4446005964
398	0.4445036069
399	0.4444426769
400	0.4443904937
401	0.4443117582
402	0.4442213708
403	0.4441214529
404	0.4440476055
405	0.4439709046
406	0.4438971274
407	0.4437993321
408	0.4437106307
409	0.4436382645
410	0.4435460577
411	0.4434942937
412	0.4434150543
413	0.4433393147
414	0.4432544403
415	0.4431637048
416	0.4430776851
417	0.4429749007
418	0.4428750529
419	0.4428072783
420	0.4427400842
421	0.4426628158
422	0.4425958963
423	0.4425203538
424	0.4424288267
425	0.4423475394
426	0.4422710503
427	0.4421965989
428	0.4421275948
429	0.4420450879
430	0.4419435442
431	0.4418577443
432	0.441759594
433	0.4416726318
434	0.4416062664
435	0.4415175716
436	0.4414478476
437	0.4413842411
438	0.4412968812
439	0.441228133
440	0.441170759
441	0.4410958771
442	0.441003607
443	0.4409335909
444	0.4408524358
445	0.4407733778
446	0.4406886871
447	0.4406215146
448	0.4405709171
449	0.4404823234
450	0.4404024867
451	0.4403219592
452	0.4402387673
453	0.4401391629
454	0.4400441002
455	0.4399522645
456	0.4398830243
457	0.4398033017
458	0.4397277952
459	0.4396757317
460	0.4396104811
461	0.4395094533
462	0.4394640198
463	0.4394011431
464	0.439337932
465	0.4392532722
466	0.4391709184
467	0.4391014511
468	0.4390216031
469	0.4389328304
470	0.438860807
471	0.4388105078
472	0.4387352713
473	0.4386483911
474	0.4385934172
475	0.4385062852
476	0.4384229826
477	0.4383345378
478	0.4382779667
479	0.4382022263
480	0.4381418294
481	0.4380637118
482	0.4379675627
483	0.4378821226
484	0.4378313657
485	0.4377457736
486	0.4376780107
487	0.4376027853
488	0.4375370475
489	0.4374729627
490	0.4373933659
491	0.4373422556
492	0.4372926694
493	0.4372103099
494	0.4371409647
495	0.4370455552
496	0.4369700571
497	0.4368813967
498	0.4368159588
499	0.4367673356
500	0.4366944004
501	0.4366198487
502	0.4365457247
503	0.4364730083
504	0.436386724
505	0.4363183575
506	0.4362521938
507	0.4361932351
508	0.4361240171
509	0.4360521901
510	0.4359873028
511	0.4359115491
512	0.435835235
513	0.4357537493
514	0.4356600231
515	0.4355859207
516	0.4355243826
517	0.4354488015
518	0.4353796872
519	0.4353117213
520	0.4352529509
521	0.4351875318
522	0.4351129341
523	0.4350394292
524	0.434995834
525	0.4349092388
526	0.4348511035
527	0.4347798578
528	0.4346822409
529	0.4346159198
530	0.434537994
531	0.4344619521
532	0.4344084984
533	0.4343251135
534	0.4342407416
535	0.4341924543
536	0.4341239922
537	0.4340500542
538	0.4339786385
539	0.433894406
540	0.4338092535
541	0.4337463792
542	0.4336879601
543	0.4335922659
544	0.4335214732
545	0.4334241249
546	0.4333677191
547	0.4332870443
548	0.4332098285
549	0.4331331311
550	0.4330469927
